dataset,n,seed,seed_cluster_gap
GermanOR,50,7,-37097.67999999999
GermanOR,50,11,-16398.81599999999
GermanOR,50,19,-61345.872
GermanOR,50,23,-44334.592000000004
GermanOR,50,29,-36094.35200000001
GermanOR,50,31,-9721.788000000015
GermanOR,50,37,-12331.791999999972
GermanOR,50,41,2250.0
GermanOR,50,43,-27272.783999999985
GermanOR,50,47,-50544.76800000001
GermanOR,70,7,-5800.0
GermanOR,70,11,8730.991999999998
GermanOR,70,19,-4550.0
GermanOR,70,23,-4842.747999999992
GermanOR,70,29,-1000.0
GermanOR,70,31,-5778.30799999999
GermanOR,70,37,1150.0
GermanOR,70,41,-4050.0
GermanOR,70,43,-8875.0
GermanOR,70,47,-4551.712000000029
GermanOR,100,7,20300.0
GermanOR,100,11,8325.0
GermanOR,100,19,-73619.61599999998
GermanOR,100,23,53001.272
GermanOR,100,29,-144455.124
GermanOR,100,31,1250.0
GermanOR,100,37,-180750.00000000006
GermanOR,100,41,2950.0
GermanOR,100,43,5575.0
GermanOR,100,47,-7525.0
GermanOR,150,7,169916.28400000004
GermanOR,150,11,25850.0
GermanOR,150,19,194824.68800000002
GermanOR,150,23,169602.84000000003
GermanOR,150,29,153371.22000000003
GermanOR,150,31,115469.85999999999
GermanOR,150,37,162846.824
GermanOR,150,41,111677.88400000002
GermanOR,150,43,173728.41999999998
GermanOR,150,47,77086.41200000001
Mannino,50,7,-54900.0
Mannino,50,11,-24094.20000000001
Mannino,50,19,-46825.0
Mannino,50,23,-55799.28
Mannino,50,29,-31250.0
Mannino,50,31,-35644.12000000001
Mannino,50,37,-30418.679999999993
Mannino,50,41,-28575.0
Mannino,50,43,-49500.0
Mannino,50,47,-23075.0
Mannino,70,7,-4375.0
Mannino,70,11,-12125.0
Mannino,70,19,-24415.96000000002
Mannino,70,23,-25793.959999999992
Mannino,70,29,-20168.0
Mannino,70,31,-19033.079999999987
Mannino,70,37,-38901.92000000001
Mannino,70,41,-8470.720000000001
Mannino,70,43,-35061.52000000002
Mannino,70,47,-5700.0
Mannino,100,7,30158.159999999978
Mannino,100,11,29275.0
Mannino,100,19,-5975.0
Mannino,100,23,8375.0
Mannino,100,29,5900.0
Mannino,100,31,2350.0
Mannino,100,37,-13200.0
Mannino,100,41,-26550.0
Mannino,100,43,-9175.0
Mannino,100,47,3900.0
Mannino,150,7,51493.20000000001
Mannino,150,11,193190.56
Mannino,150,19,100753.35999999999
Mannino,150,23,140391.96000000002
Mannino,150,29,12150.0
Mannino,150,31,-26383.56
Mannino,150,37,5080.240000000049
Mannino,150,41,138975.56
Mannino,150,43,172959.44
Mannino,150,47,95019.0
Synthetic,50,7,0.0
Synthetic,50,11,-2927.520000000004
Synthetic,50,19,-1373.5999999999908
Synthetic,50,23,-6701.440000000002
Synthetic,50,29,-6477.440000000031
Synthetic,50,31,-8043.679999999993
Synthetic,50,37,-1908.320000000007
Synthetic,50,41,283.5599999999977
Synthetic,50,43,2945.360000000015
Synthetic,50,47,0.0
Synthetic,70,7,-2549.8800000000047
Synthetic,70,11,3860.7600000000384
Synthetic,70,19,-14858.0
Synthetic,70,23,-14981.199999999983
Synthetic,70,29,23444.839999999997
Synthetic,70,31,-2948.4400000000023
Synthetic,70,37,7098.8399999999965
Synthetic,70,41,-18035.119999999995
Synthetic,70,43,598.039999999979
Synthetic,70,47,-1100.0
Synthetic,100,7,-4598.920000000042
Synthetic,100,11,31450.399999999965
Synthetic,100,19,45314.79999999999
Synthetic,100,23,49700.56
Synthetic,100,29,38612.52000000008
Synthetic,100,31,-16156.23999999999
Synthetic,100,37,15678.080000000016
Synthetic,100,41,270642.48
Synthetic,100,43,-35064.600000000035
Synthetic,100,47,475.0
Synthetic,150,7,-695494.5599999999
Synthetic,150,11,-2629611.96
Synthetic,150,19,103028.47999999998
Synthetic,150,23,-132653.92000000004
Synthetic,150,29,-5194644.4
Synthetic,150,31,4437031.24
Synthetic,150,37,-68518.20000000013
Synthetic,150,41,110157.16000000013
Synthetic,150,43,9365033.48
Synthetic,150,47,1663999.2000000002
