dataset,n,n_seed_clusters,median_seed_cluster_gap,mean_seed_cluster_gap,bootstrap_ci_low,bootstrap_ci_high,positive_seed_clusters,zero_seed_clusters,negative_seed_clusters
GermanOR,50,10,-31683.568,-29289.244400000003,-44334.592000000004,-12331.791999999972,1,0,9
GermanOR,70,10,-4550.856000000014,-2956.6776000000013,-5778.30799999999,-1000.0,2,0,8
GermanOR,100,10,2100.0,-31494.846800000007,-75990.062,11657.812499997135,6,0,4
GermanOR,150,10,158109.022,135437.4432,96278.136,171665.63,10,0,0
Mannino,50,10,-33447.060000000005,-38008.128000000004,-49500.0,-27256.440000000002,0,0,10
Mannino,70,10,-19600.539999999994,-19404.516000000003,-29738.74000000002,-8470.720000000001,0,0,10
Mannino,100,10,3125.0,2505.8159999999975,-9587.5,17587.5,6,0,4
Mannino,150,10,97886.18,88362.976,12150.0,155967.5,9,0,1
Synthetic,50,10,-1640.959999999999,-2420.308000000002,-6477.440000000031,0.0,2,2,6
Synthetic,70,10,-1824.9400000000023,-1947.0159999999973,-14858.0,3860.7600000000384,4,0,6
Synthetic,100,10,23564.23999999999,39605.407999999996,-7840.619999999995,45314.79999999999,7,0,3
Synthetic,150,10,17255.139999999927,695832.652,-1381132.94,2273594.2,5,0,5
