dataset,n,seed,delta_blocked_transfer_days,delta_high_priority_deficit,blocked_score_contribution,high_priority_score_contribution
GermanOR,150,7,11.0,0.0,11000.0,0.0
GermanOR,150,11,2.5,0.0,2500.0,0.0
GermanOR,150,19,30.0,0.0,30000.0,0.0
GermanOR,150,23,11.5,0.0,11500.0,0.0
GermanOR,150,29,10.0,0.0,10000.0,0.0
GermanOR,150,31,13.5,0.0,13500.0,0.0
GermanOR,150,37,0.5,0.0,500.0,0.0
GermanOR,150,41,3.5,0.0,3500.0,0.0
GermanOR,150,43,10.5,0.0,10500.0,0.0
GermanOR,150,47,0.5,0.0,500.0,0.0
Mannino,150,7,15.0,0.0,15000.0,0.0
Mannino,150,11,29.5,0.0,29500.0,0.0
Mannino,150,19,18.5,0.0,18500.0,0.0
Mannino,150,23,11.0,0.0,11000.0,0.0
Mannino,150,29,0.0,0.0,0.0,0.0
Mannino,150,31,9.0,0.0,9000.0,0.0
Mannino,150,37,6.5,0.0,6500.0,0.0
Mannino,150,41,6.5,0.0,6500.0,0.0
Mannino,150,43,13.5,0.0,13500.0,0.0
Mannino,150,47,0.5,0.0,500.0,0.0
Synthetic,150,7,77.5,-0.5,77500.0,-750000.0
Synthetic,150,11,75.0,-2.0,75000.0,-3000000.0
Synthetic,150,19,53.0,0.0,53000.0,0.0
Synthetic,150,23,49.5,0.0,49500.0,0.0
Synthetic,150,29,68.0,-3.5,68000.0,-5250000.0
Synthetic,150,31,41.5,3.0,41500.0,4500000.0
Synthetic,150,37,53.5,0.0,53500.0,0.0
Synthetic,150,41,39.0,0.0,39000.0,0.0
Synthetic,150,43,78.5,6.5,78500.0,9750000.0
Synthetic,150,47,34.5,1.0,34500.0,1500000.0
